Branch,Percentage_10th,Percentage_12th,Career_Goal,Course Type,Skills,Category,Title
IT,75,85,software engineer,Specialization,cloud storage data analysis big data cloudera sql database dbms data warehousing apache hive apache impala data management distributed file systems,Data Science,Modern Big Data Analysis with SQL Specialization
CS,85,95,software engineer,Professional Certificate,data scienceregression modelspredictive modellingexploratory data analysis edastatistical analysismachine learningpython programmingdata analysisjupyter notebooktableau softwaredata visualization datavizkaggle,Data Science,Google Advanced Data Analytics Professional Certificate
CSME,85,85,product design engineer,Course,trend analysisethical design and productioncollaborationinnovationdesign technique,Business,Fashion Design
CSIT,85,95,devops engineer,Course,logic programmingjava programmingobjectoriented programming oopsorting algorithm,Computer Science,Object Oriented Programming in Java
ECE,75,75,embedded systems engineer,Specialization,linux kernel programming embedded systems c programming embedded software embedded systems engineering shell script electrical engineering agile software development,Computer Science,Advanced Embedded Linux Development Specialization
CSIT,75,85,devops engineer,Course,create music legallyread legal documentsleverage the copyright law to your advantagewrite a cowriting agreement,Business,Copyright Law in the Music Business
CS,85,85,software engineer,Course,data managementdistributed file systemscloud storagebig datasql,Data Science,Managing Big Data in Clusters and Cloud Storage
IT,75,75,data analyst,Course,data sciencemethodologycrispdmdata analysisdata mining,Data Science,Data Science Methodology
CSIT,85,85,web developer,Course,ux and uireact web frameworkgithubfigmasql,Computer Science,Capstone (React App)
CSIT,85,75,software engineer,Specialization,vertex ai machine learning feature engineering tensorflow cloud computing application programming interfaces api inclusive ml google cloud platform bigquery data cleansing python programming build input data pipeline,Data Science,Machine Learning on Google Cloud Specialization
ECE,75,75,iot developer,Specialization,delegation leadership coaching supervision,Personal Development,Habilidades Gerenciales  Specialization
ECE,85,75,signal processing engineer,Course,historycounterterrorisminternational lawterrorism studiespolicy analysis,Social Sciences,Terrorism and Counterterrorism: Comparing Theory and Practice
CS,65,65,machine learning engineer,Specialization,text mining python programming pandas matplotlib numpy data cleansing data virtualization data visualization dataviz machine learning ml algorithms machine learning scikitlearn natural language toolkit nltk,Data Science,Applied Data Science with Python Specialization
MCA,75,65,software developer,Course,web applicationfrontend web developmentreact web frameworkapplication development,Computer Science,React Basics
CSIT,75,75,devops engineer,Course,deep learningapplication programming interfaces apiartificial intelligence aimachine learningwatson,Data Science,Getting Started with AI using IBM Watson
EN,75,75,control systems engineer,Course,music performancepianomusicmusic compositionmusic theory,Arts and Humanities,"Musicianship: Chord Charts, Diatonic Chords, and Minor Keys"
EN,75,75,control systems engineer,Specialization,machine learning gpu parallel computing image processing c cuda python programming thread computing algorithms cc nvidia data science,Computer Science,GPU Programming Specialization
CSIT,85,85,devops engineer,Specialization,trade marketing marketing brand management pricing strategies product management touchpoint business strategy pricing strategic management retailing marketing mix retail management,Business,Implementación del Marketing Mix Specialization
CSIT,85,75,web developer,Professional Certificate,data sciencedatabase dbmsnosqlsqldatabase db designdatabase architecturepostgresqlmysqlrelational database management system rdbmscreate read update and deletedata analysisshell scriptbash unix shelllinuxdatabase serversrelational databasedatabase securitydatabase administrationextraction transformation and loading etlapache kafkaapache airflowdata pipelinesdata warehousingcube and rollupbusiness intelligence bistar and snowflake schemacognos analyticsoltp databases,Information Technology,IBM Data Warehouse Engineer Professional Certificate
ECE,85,85,vlsi engineer,Course,gotomarket strategyproductmarket fittech leadershipbb salesproduct management,Business,The Business of Product Management I
CSIT,85,85,web developer,Course,basic python data structuresfundamental programming conceptsbasic python syntaxpython programmingobjectoriented programming oop,Information Technology,Crash Course on Python
CSIT,85,85,web developer,Specialization,insert and modify oracle sql databases delete from oracle sql databases create oracle sql databases,Information Technology,Oracle SQL Databases Specialization
CS,85,95,data scientist,Specialization,data analysis apache spark delta lake sql data science sqlite ab testing query string predictive analytics presentation skills creating metrics exploratory data analysis,Data Science,Learn SQL Basics for Data Science Specialization
CS,85,85,data scientist,Course,data sciencedata analysismachine learning,Data Science,Data Science Fundamentals for Data Analysts
IT,85,85,cloud engineer,Specialization,tensorflow bigquery google cloud platform cloud computing,Data Science,"Data Engineering, Big Data, and Machine Learning on GCP Specialization"
CSIT,85,95,devops engineer,Professional Certificate,linuxcloud hostingweb developmentbash unix shellpython programmingapplication programming interfaces apicomputer programmingdjango web framework,Computer Science,Desarrollador back-end de Meta Professional Certificate
CS,85,95,data scientist,Specialization,data science data analysis machine learning spark sql sql databricks,Data Science,Data Science with Databricks for Data Analysts Specialization
CS,85,85,cybersecurity analyst,Specialization,it fundamentals cybersecurity cloud networking hardware technical support it service management itsm troubleshooting it career software development process database management software application development,Information Technology,Information Technology (IT) and Cloud Fundamentals Specialization
CSIT,85,85,devops engineer,Course,cloud databasespython programmingjupyter notebooksrelational database management system rdbmssql,Data Science,Databases and SQL for Data Science with Python
CS,85,85,ai engineer,Specialization,python programming device programming raspberry pi machine learning internet internet of things iot wireless front and back ends service discovery,Computer Science,Hands-on Internet of Things Specialization
CSIT,85,85,data scientist,Specialization,machine learning python programming data visualization dataviz data preparation exploratory data analysis data analysis predictive analytics data architecture coding linear regression sql text analysis,Data Science,Accounting Data Analytics Specialization
ECE,85,85,vlsi engineer,Course,social marketingsocial media marketingsocial mediaab testing,Business,The Business of Social
EN,85,85,power systems engineer,Course,imagining the future with a frameregaining power over the futureharnessing imagination in scenariosasking the right questions,Personal Development,Futures Thinking
CSME,85,75,ai in manufacturing,Course,data sciencedeep learningartificial intelligence aijobsmachine learning,Data Science,Introduction to Artificial Intelligence (AI)
MCA,75,65,software developer,Specialization,data science python programming data analysis pandas numpy jupyter notebooks predictive modelling data visualization dataviz model selection dashboards and charts dash matplotlib,Data Science,Applied Data Science Specialization
CSME,85,85,automation engineer,Specialization,computer programming java programming web development java database connectivity jdbc java class library objectoriented programming oop crt recursively enumerable set java compiler javac iterator linearity,Computer Science,Core Java Specialization
ECE,75,95,signal processing engineer,Specialization,artificial intelligence ai digital design manufacturing engineer industry,Physical Science and Engineering,Digital Manufacturing & Design Technology  Specialization
CSIT,85,85,data scientist,Course,python programmingtableau softwaredata visualization datavizeffective communicationexploratory data analysis,Data Science,Go Beyond the Numbers: Translate Data into Insights
EN,85,85,power systems engineer,Specialization,renewable energy solar energy energy projects sustainability wind energy energy storage renewable energy techologies electricity systems wind power sustainable energy project execution project operations,Physical Science and Engineering,Renewable Energy Specialization
ECE,85,75,signal processing engineer,Course,regression analysissupervised learninglinear regressionridge regressionmachine learning ml algorithms,Data Science,Supervised Machine Learning: Regression
CSME,85,85,automation engineer,Specialization,scala programming parallel computing apache spark functional programming recursion immutable data types higherorder function laziness type class referential transparency reactive programming data structure,Computer Science,Functional Programming in Scala Specialization
ECE,85,95,signal processing engineer,Specialization,describe fundamental principles of machine learning on azure describe ai workloads and considerations describe features of conversational ai workloads on azure describe features of computer vision workloads on azure describe features of natural language processing nlp workloads on azure artificial intelligence ai microsoft azure machine learning computer vision natural language processing test preparation,Data Science,Microsoft Azure AI Fundamentals AI-900 Exam Prep Specialization
ECE,85,95,signal processing engineer,Course,software development kit sdkagile software developmentscrum software development,Computer Science,Agile Software Development
ECE,85,75,signal processing engineer,Course,dashboards and chartsdashpython programmingmatplotlibdata visualization dataviz,Data Science,Data Visualization with Python
CSIT,85,75,web developer,Specialization,insert and modify oracle sql databases delete from oracle sql databases create oracle sql databases,Information Technology,Oracle SQL Databases Specialization
CSIT,85,95,data scientist,Specialization,cloud storage data analysis big data cloudera sql database dbms data warehousing apache hive apache impala data management distributed file systems,Data Science,Modern Big Data Analysis with SQL Specialization
MCA,85,85,database administrator,Project,database dbmsgoogle cloud platformmysql,Information Technology,Migrating On-premises MySQL Using a Continuous Database Migration Service Job
IT,85,85,web developer,Course,data scienceinformation engineeringartificial intelligence aimachine learningpython programming,Data Science,AI Workflow: AI in Production
ECE,85,75,signal processing engineer,Course,predictive analyticscustomer analyticsregression analysismarketing performance measurement and management,Business,Customer Analytics
CSIT,85,85,web developer,Course,web designhtmljavascriptcascading style sheets css,Computer Science,Web Design for Everybody Capstone
CSIT,85,85,devops engineer,Course,software developmentproduct managementagile software development,Computer Science,Agile Analytics
CSIT,75,75,software engineer,Specialization,machine learning gpu parallel computing image processing c cuda python programming thread computing algorithms cc nvidia data science,Computer Science,GPU Programming Specialization
IT,75,85,web developer,Course,writing test planswriting defect reportsunderstanding of testing theorywriting teststesting vocabulary,Computer Science,Introduction to Software Testing
CS,85,95,cybersecurity analyst,Specialization,cybersecurity network security security principles risk information assurance security governance computer security incident management business continuity disaster recovery logical controls administrative controls,Information Technology,Certified in Cybersecurity Specialization
ECE,85,75,signal processing engineer,Course,application programming interfaces apicloud functionsidentity management idmcloud endpointspublishsubscribe pattern,Computer Science,Securing and Integrating Components of your Application
CSIT,75,75,devops engineer,Course,computer programmingproblem solvingmatlabprogramming language,Computer Science,Introduction to Programming with MATLAB
ECE,75,75,embedded systems engineer,Specialization,geographic information system gis satellite imagery analysis model building spatial visualization spatial analysis data analysis data visualization dataviz software analytics workflow data management,Data Science,Geographic Information Systems  (GIS) Specialization
CSIT,85,85,devops engineer,Specialization,understand the various policy approaches involved in the transition to a low carbon economy including in particular cap trade carbon markets learn to assess how climate change impacts financial portfolios and and how to manage climate risk in equity portfolios understand how climate change risks impact corporate decisions and company value understand the instruments investment funds and solutions used to finance clean technologies and clean energy understanding the evidence for climate change and for its anthropogenic origin understand the likely impacts on the real economy of the different courses of actions ahead of us evaluate projects on a portfolio basis the economic attractiveness of various abatement projects assess critically the economic desirability of different technologically feasible abatement technologies understand how climate change risk exposure affects corporate decisions and value map the financial risks and opportunities of climate change understand the instruments investment funds and solutions to finance clean technologies and clean energy assess how climate change impacts financial intermediaries and systemic risks,Business,Climate Change and Sustainable Investing Specialization
CSIT,75,75,devops engineer,Course,objectoriented designobjectoriented analysis and designunified modeling language uml,Computer Science,Object-Oriented Design
CSME,85,75,ai in manufacturing,Specialization,big data machine learning deep learning health care graphs unsupervised learning autoencoder,Data Science,Deep Learning for Healthcare Specialization
CSME,85,75,automation engineer,Specialization,preattck python programming cybersecurity attack and defend computer programming introduction to python for cybersecurity persistence privilege escalation and evasion execution active defense,Information Technology,Python for Cybersecurity Specialization
CSIT,85,75,web developer,Course,gratitudekindnessmeditationpositive psychology,Health,Positive Psychology 
ECE,85,75,signal processing engineer,Specialization,presentation skills communication skills professional development people skills soft skills teamwork listening skills communication critical thinking creative skills powerpoint skills agility,Personal Development,People and Soft Skills for Professional and Personal Success Specialization
CSIT,85,85,data scientist,Course,data sciencedata analysisdata visualization datavizr programming,Data Science,Data Visualization with R
CS,85,95,data scientist,Course,data analysispredictive analyticsdata visualization datavizdata architecturecoding,Data Science,Introduction to Accounting Data Analytics and Visualization
CS,65,65,machine learning engineer,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,Data Mining  Specialization
IT,85,85,cloud engineer,Specialization,google compute engine google app engine gae google cloud platform cloud computing virtual machine network architecture debugging cloud storage data store load balancing virtual private network vpn autoscaling,Information Technology,Architecting with Google Compute Engine Specialization
CSAI,85,85,robotics engineer,Specialization,artificial intelligence ai machine learning reinforcement learning function approximation intelligent systems,Data Science,Reinforcement Learning Specialization
MCA,50,50,data analyst,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,Data Mining  Specialization
CSIT,85,95,devops engineer,Course,mechanical engineeringchemistryfluid mechanicsquantum mechanics,Physical Science and Engineering,Fundamentals of Macroscopic and Microscopic Thermodynamics
IT,75,75,data analyst,Course,data scienceartificial neural networkmachine learningpredictive analyticsmodeling,Data Science,Machine Learning Foundations for Product Managers
ECE,85,75,signal processing engineer,Course,natural language toolkit nltktext miningpython programmingnatural language processing,Data Science,Applied Text Mining in Python
ECE,85,85,vlsi engineer,Specialization,persuasion creativity communication tact confidence poise advocacy rhythm problem solving dynamic movement resilience optimism,Personal Development,Good with Words: Speaking and Presenting Specialization
CSIT,85,85,data scientist,Course,data sciencespreadsheetmicrosoft exceldata analysisdata visualization dataviz,Data Science,Introduction to Data Analytics
CS,75,85,data scientist,Specialization,pentaho data visualization dataviz data warehouse sql database db design entityrelationship er model database dbms extraction transformation and loading etl data integration data warehousing materialized view business intelligence,Data Science,Data Warehousing for Business Intelligence Specialization
ECE,85,95,signal processing engineer,Course,statisticsstatistical analysisstatistical modelpreprocessor,Data Science,Principles of fMRI 1
CSIT,85,85,web developer,Course,react javascript libraryreactapplication developmentmobile development,Computer Science,React Native
CSIT,85,75,web developer,Course,winwin gamenegotiationplanningprincipled negotiation,Business,The Art of Negotiation
MCA,65,50,web developer,Professional Certificate,ios app developmentapplication developmentmobile developmentlinuxweb developmentbash unix shellgithubversion controlswift programmingweb designfrontend web developmentuser experience uxaccessibilityuse navigation in your appsjsonapiscore data create simple javascript code create and manipulate objects and arrays write unit testing using jestweb applicationreact web frameworkreact javascript libraryreactsoftware architectureui developmentdata managementpseudocodealgorithmscommunicationdata structurecomputer science,Computer Science,Meta iOS Developer Professional Certificate
ECE,85,95,iot developer,Course,persuasioncreativitywritingtime managementediting,Personal Development,Writing and Editing: Word Choice and Word Order
CSIT,75,75,devops engineer,Course,managementstrategic planningcomplianceorganizational behavior,Business,Effective Compliance Programs
CS,85,95,cybersecurity analyst,Course,sketchadobe xdadobe illustratorhtmlcssbalsamiq,Arts and Humanities,Web Design: Wireframes to Prototypes
ECE,85,75,signal processing engineer,Course,processing paymentspayment processingpayment technologyvalue propositionspayment systems,Business,The Future of Payment Technologies
CSIT,85,85,devops engineer,Course,lesson planstrategies in teachingsocial emotionalneurodiversity,Social Sciences,"Uncommon Sense Teaching: Part 2, Building Community and Habits of Learning"
CS,85,85,data scientist,Specialization,shiny dashboards data analysis and modelling r programmin language data visualization dataviz sql rdbms data science r programming select sql relational databases rdbms data analysis statistical analysis linear regression,Data Science,Applied Data Science with R Specialization
CSIT,85,75,web developer,Course,react javascript librarydata managementapplication developmentrest apis,Computer Science,Working with Data
CSME,85,75,automation engineer,Course,logistic regressionr programming,Health,Logistic Regression in R for Public Health
CS,85,75,machine learning engineer,Specialization,data science information engineering artificial intelligence ai machine learning python programming,Data Science,IBM AI Enterprise Workflow Specialization
CSIT,85,75,software engineer,Specialization,algorithm design python programming data structure design analysis of algorithms hashtables graphs algorithms intractability,Computer Science,Data Science Foundations: Data Structures and Algorithms Specialization
MCA,75,65,software developer,Specialization,career fulfillment self awareness personal development reflection learning from failure strategic leadership change management leadership development learning decisionmaking management learning how to learn,Business,"Strategic Leadership: Impact, Change, and Decision-Making Specialization"
CS,85,85,data scientist,Course,data analysisdebuggingr programmingrstudio,Data Science,R Programming
ECE,85,75,signal processing engineer,Course,image processingobject detectionmatlabvideo processing,Physical Science and Engineering,Automating Image Processing
CS,85,95,software engineer,Specialization,programming principles python programming java programming data structure computer programming python tools python syntax and semantics data science python libraries data analysis data visualization dataviz java tools,Computer Science,Introduction to Programming with Python and Java Specialization
MCA,85,85,database administrator,Specialization,database db design data warehousing nosql database administration sql database dbms relational models normalization entityrelationship er model data science database application sql structured query language,Information Technology,Databases for Data Scientists Specialization
MCA,75,65,software developer,Specialization,programming principles python programming java programming data structure computer programming python tools python syntax and semantics data science python libraries data analysis data visualization dataviz java tools,Computer Science,Introduction to Programming with Python and Java Specialization
CSIT,85,75,software engineer,Specialization,data analysis data visualization dataviz mathematical optimization sql data model data quality regression analysis data cleansing predictive modelling exploratory data analysis simulation business analytics,Business,Advanced Business Analytics Specialization
CSIT,85,85,web developer,Specialization,html javascript cascading style sheets css java programming html algorithms problem solving string computer science data structure cryptography hash table programming principles,Computer Science,Java Programming and Software Engineering Fundamentals Specialization
CSIT,85,85,web developer,Course,web designhtmljavascriptcascading style sheets css,Computer Science,Web Design for Everybody Capstone
CSIT,85,85,devops engineer,Specialization,pricing communication product management marketing customer experience brand engagement product strategy brand architecture brand and product management psychology price discrimination pricing strategies,Business,Marketing Mix Implementation Specialization
IT,85,85,cloud engineer,Course,google compute enginegoogle app engine gaegoogle cloud platformcloud computing,Information Technology,Google Cloud Fundamentals: Core Infrastructure
CSIT,85,75,web developer,Specialization,json xml python programming database dbms python syntax and semantics basic programming language computer programming data structure tuple web scraping sqlite sql,Computer Science,Python for Everybody Specialization
CS,85,95,software engineer,Course,data warehousingmicrostrategydata warehousesql,Data Science,Design and Build a Data Warehouse for Business Intelligence Implementation
ECE,85,85,vlsi engineer,Specialization,artificial intelligence ai digital design manufacturing engineer industry,Physical Science and Engineering,Digital Manufacturing & Design Technology  Specialization
CSIT,85,85,devops engineer,Course,sketchadobe xdadobe illustratorhtmlcssbalsamiq,Arts and Humanities,Web Design: Wireframes to Prototypes
CSIT,75,75,devops engineer,Professional Certificate,using version controltroubleshooting debuggingpython programmingconfiguration managementautomation,Information Technology,Google IT Automation with Python Professional Certificate
MCA,85,85,database administrator,Course,database db designdatabase architecturepostgresqlmysqlrelational database management system rdbms,Information Technology,Introduction to Relational Databases (RDBMS)
MCA,65,50,web developer,Specialization,selfassessment skills management career personal branding job readiness career development personal strategy selfcoaching competence human resources competitiveness strategy personal development,Business,Career Self-Management Training and Certification Specialization
IT,75,85,software engineer,Course,data analysisdebuggingr programmingrstudio,Data Science,R Programming
MCA,65,50,web developer,Specialization,cascading style sheets css html javascript sql django web framework hypertext transfer protocol http django template language get post objectoriented programming oop crosssite scripting forgery csrf user authentication sessions and cookies,Computer Science,Django for Everybody Specialization
CS,85,95,data scientist,Course,data sciencegithubr programmingrstudio,Data Science,The Data Scientist’s Toolbox
CSME,85,85,product design engineer,Course,graphicstypographypresentationgraphic design,Business,Graphic Design
ECE,85,75,signal processing engineer,Course,data analysissupply chainjob intelligence,Business,Supply Chain Analytics Essentials
CSME,85,75,ai in manufacturing,Specialization,data science information engineering artificial intelligence ai machine learning python programming,Data Science,IBM AI Enterprise Workflow Specialization
CSIT,85,85,data scientist,Course,data visualization softwaretableau softwaredata virtualizationdata visualization dataviz,Data Science,Data Visualization
ECE,85,75,signal processing engineer,Specialization,strategic foresight simulation scenario design future forecasting foresight creativity strategic thinking innovation leadership scenario development strategic planning gaming,Business,Futures Thinking Specialization
CSIT,75,85,devops engineer,Specialization,implementation science clinical text mining r programming computational phenotyping data quality assessment,Data Science,Clinical Data Science Specialization
CSIT,85,85,devops engineer,Specialization,integrative healthcare wellbeing patientcentered care improved symptom management evidencebased practice symptom management healthcare stress management pain management wholeperson care mindfulness integrative medicine,Health,Integrative Nursing Specialization
CS,85,95,data scientist,Course,data analysisdebuggingr programmingrstudio,Data Science,R Programming
CS,85,85,machine learning engineer,Specialization,big data machine learning deep learning health care graphs unsupervised learning autoencoder,Data Science,Deep Learning for Healthcare Specialization
MCA,65,50,data analyst,Specialization,cloud storage data analysis big data cloudera sql database dbms data warehousing apache hive apache impala data management distributed file systems,Data Science,Modern Big Data Analysis with SQL Specialization
CS,85,95,ai engineer,Specialization,artificial intelligence ai machine learning management analytics fraud prevention,Business,AI For Business Specialization
MCA,65,50,data analyst,Course,data visualization softwaretableau softwaredata virtualizationdata visualization dataviz,Data Science,Data Visualization
ME,75,75,design engineer,Course,ab testinguser experience uxuser experience design uxduser interface,Computer Science,Design Principles: an Introduction
CS,85,85,data scientist,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,Data Mining  Specialization
ECE,75,95,signal processing engineer,Course,retail managementsupply chainretailingchannel management,Business,Channel Management and Retailing 
MCA,85,65,data analyst,Specialization,data science data analysis machine learning spark sql sql databricks,Data Science,Data Science with Databricks for Data Analysts Specialization
IT,75,85,web developer,Specialization,html javascript cascading style sheets css java programming html algorithms problem solving string computer science data structure cryptography hash table programming principles,Computer Science,Java Programming and Software Engineering Fundamentals Specialization
CS,75,75,software engineer,Specialization,machine learning python programming data visualization dataviz data preparation exploratory data analysis data analysis predictive analytics data architecture coding linear regression sql text analysis,Data Science,Accounting Data Analytics Specialization
CSIT,85,85,web developer,Course,react javascript librarydata managementapplication developmentrest apis,Computer Science,Working with Data
IT,85,85,software engineer,Course,data sciencer programmingdata visualization datavizlinear regressionexploratory data analysis,Data Science,Data Science with R - Capstone Project
CSIT,85,85,devops engineer,Specialization,machine learning regression machine learning classification machine learning unsupervised learning exploratory data analysis artificial intelligence ai feature engineering statistical hypothesis testing regression analysis supervised learning linear regression ridge regression,Data Science,IBM Introduction to Machine Learning Specialization
ECE,75,95,signal processing engineer,Course,agile product managementagile software developmentbacklog managementkanbanxp,Computer Science,Managing an Agile Team
CS,85,85,cybersecurity analyst,Course,project managementscope project managementcommunicationwork breakdown structure,Business,Project Launch
ECE,85,95,iot developer,Course,computer programmingpython programminginternet of things iotraspberry pi,Computer Science,The Raspberry Pi Platform and Python Programming for the Raspberry Pi
CSIT,85,85,devops engineer,Course,artificial intelligence aimachine learningreinforcement learningfunction approximationintelligent systems,Data Science,Fundamentals of Reinforcement Learning
IT,85,85,software engineer,Specialization,data science spreadsheet microsoft excel data analysis data visualization dataviz pivot table ibm cognos analytics dashboard,Data Science,Data Analysis and Visualization Foundations Specialization
CS,85,95,ai engineer,Course,data sciencedeep learningartificial intelligence aijobsmachine learning,Data Science,Introduction to Artificial Intelligence (AI)
CSIT,75,75,software engineer,Specialization,machine learning python programming data visualization dataviz data preparation exploratory data analysis data analysis predictive analytics data architecture coding linear regression sql text analysis,Data Science,Accounting Data Analytics Specialization
ECE,85,85,embedded systems engineer,Course,business analyticsr programmingrstudio,Business,Introduction to Business Analytics with R
CSAI,85,85,robotics engineer,Specialization,quantitative analysis asset allocation algorithmic trading portfolio optimization mathematical finance derivatives swaps and options fixed income binomial distribution black scholes model model calibration modeling and pricing credit default swaps,Business,Financial Engineering and Risk Management Specialization
CS,65,65,machine learning engineer,Course,professionalemail writingcommunicationwriting,Language Learning,Write Professional Emails in English
ECE,85,75,signal processing engineer,Course,sectorsmutual fundsfundamental analysisstocksbusiness cycle,Business,Fundamentals of Equities
ECE,85,85,vlsi engineer,Course,quality measuresvaluebased healthcarehealthcare qualitypatient carehealth insurance,Health,Value-Based Care: Introduction to Value-Based Care and the U.S. Healthcare System
CS,75,85,data scientist,Specialization,github machine learning r programming regression analysis data science rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,Data Science Specialization
CSIT,85,85,web developer,Course,user experience uxusability testingux researchprototypeuser experience design uxd,Computer Science,Conduct UX Research and Test Early Concepts
CS,65,65,machine learning engineer,Course,english languagewritingmanagementcommunicationemailingmeeting,Language Learning,Business English: Management and Leadership
CSIT,85,85,devops engineer,Course,data analysisdebuggingr programmingrstudio,Data Science,R Programming
CS,75,75,software engineer,Course,data sciencepython programmingdata analysispandasnumpy,Data Science,"Python for Data Science, AI & Development"
CS,85,95,ai engineer,Course,graphsunsupervised learningautoencoderdeep learning,Data Science,Advanced Deep Learning Methods for Healthcare
CS,85,85,ai engineer,Course,english languagewritingmanagementcommunicationemailingmeeting,Language Learning,Business English: Management and Leadership
CSIT,85,75,web developer,Specialization,jquery web application development hypertext preprocessor php javascript mysql html cascading style sheets css phpmyadmin relational database sql create read update and delete,Computer Science,Web Applications for Everybody Specialization
ECE,85,75,signal processing engineer,Course,financial accountingaccountingfinancial statementbalance sheet,Business,Introduction to Financial Accounting
IT,85,85,software engineer,Course,data scienceinformation engineeringartificial intelligence aimachine learningpython programming,Data Science,AI Workflow: Enterprise Model Deployment
CS,85,95,data scientist,Specialization,data science artificial intelligence ai information technology it architecture data architecture leadership deep learning jobs machine learning big data data mining management analytics,Data Science,IBM AI Foundations for Business Specialization
CS,85,85,ai engineer,Course,grammarbusiness communicationcommunicationwriting,Language Learning,Business English: Basics
CSIT,75,75,devops engineer,Course,financial modelingprojectfinancereal estate,Business,Construction Finance
MCA,75,65,software developer,Course,data sciencegithubr programmingrstudio,Data Science,The Data Scientist’s Toolbox
CSAI,85,95,robotics engineer,Specialization,artificial intelligence ai machine learning reinforcement learning function approximation intelligent systems,Data Science,Reinforcement Learning Specialization
ECE,85,75,signal processing engineer,Specialization,image segmentation matlab object detection image processing video processing region analysis image filtering,Physical Science and Engineering,Image Processing for Engineering and Science Specialization
CSIT,85,85,web developer,Specialization,web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,Computer Science,Web Design for Everybody: Basics of Web Development & Coding Specialization
CSIT,85,85,web developer,Course,testdriven developmentjavascriptfrontend web developmentobjectoriented programming oop,Computer Science,Programming with JavaScript
CSAI,85,95,robotics engineer,Course,computeraided design cadcomputeraided manufacturingdesign for manufacturingcammechanical engineering,Physical Science and Engineering,CAM and Design Manufacturing for Mechanical Engineers with Autodesk Fusion 360
CS,85,85,ai engineer,Specialization,machine learning regression machine learning classification machine learning unsupervised learning exploratory data analysis artificial intelligence ai feature engineering statistical hypothesis testing regression analysis supervised learning linear regression ridge regression,Data Science,IBM Introduction to Machine Learning Specialization
IT,85,85,cloud engineer,Course,cloud platformscloud applicationskubernetescloud computing,Information Technology,Advanced Application Management with Red Hat OpenShift
EN,85,85,power systems engineer,Specialization,behavioral health school health learning disabilities medical conditions nutrition,Health,School Health for Children and Adolescents Specialization
ECE,85,95,signal processing engineer,Course,markov modelbayesian statisticsmixture modelr programming,Data Science,Bayesian Statistics: Mixture Models
CS,85,75,machine learning engineer,Course,professionalenglish languagemeetingwriting,Language Learning,Business English: Meetings
IT,75,75,data analyst,Specialization,data science data analysis data visualization dataviz reproducible research,Data Science,Data Visualization & Dashboarding with R Specialization
ECE,85,85,vlsi engineer,Course,graphsspreadsheetmicrosoft excelchart,Business,Excel Skills for Business: Essentials
MCA,75,65,web developer,Course,htmljavascriptcss frameworkscascading style sheets css,Computer Science,"HTML, CSS, and Javascript for Web Developers"
CSIT,85,85,devops engineer,Specialization,cyberattacks network defense digital forensics cybersecurity ethical hacking ethica hacking network security computer forensics,Computer Science,Cybersecurity Attack and Defense Fundamentals Specialization
MCA,75,65,software developer,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,Data Mining  Specialization
CSIT,75,75,devops engineer,Specialization,creativity strategic thinking design thinking innovation management innovation,Business,Design Thinking Specialization
CS,75,75,software engineer,Specialization,data science python programming data analysis pandas numpy jupyter notebooks predictive modelling data visualization dataviz model selection dashboards and charts dash matplotlib,Data Science,Applied Data Science Specialization
EN,85,85,power systems engineer,Course,artificial intelligence aimachine learningreinforcement learningfunction approximationintelligent systems,Data Science,Fundamentals of Reinforcement Learning
IT,85,85,software engineer,Course,data sciencepython programmingdata analysispandasnumpy,Data Science,"Python for Data Science, AI & Development"
CSIT,85,85,web developer,Course,react javascript librarydata managementapplication developmentrest apis,Computer Science,Working with Data
ECE,75,95,signal processing engineer,Course,communicationpoiseadvocacyrhythm,Personal Development,Speaking and Presenting: Poise
CSIT,85,85,web developer,Course,web designweb accessibilityhtmlhtml,Computer Science,Introduction to HTML5
CS,85,95,cybersecurity analyst,Course,emotional intelligencesocial justicebusiness psychologycrosscultural communicationcritical thinking,Business,"Foundations of Diversity, Equity, and Inclusion"
CSIT,85,85,devops engineer,Course,management consultingcase interviewinterviewingconsultingproject management,Business,Getting a Consulting Job
ECE,85,85,embedded systems engineer,Course,linuxembedded systems engineeringc programmingshell scriptelectrical engineering,Computer Science,Linux System Programming and Introduction to Buildroot
CS,85,85,machine learning engineer,Specialization,data science internet of things iot deep learning apache spark statistics machine learning long shortterm memory istm,Data Science,Advanced Data Science with IBM Specialization
IT,85,85,cloud engineer,Course,devopstest automationaws cloud,Computer Science,"DevOps on AWS: Code, Build, and Test"
CS,75,85,data scientist,Course,data sciencespreadsheetmicrosoft exceldata analysisdata visualization dataviz,Data Science,Introduction to Data Analytics
